huyen,xa,thon,cap
Thành phố Huế,Phường Gia Hội,Tổ dân phố 17,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 18,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 11,capdo4
Thành phố Huế,Phường Hương An,Tổ dân phố An Hoà,capdo1
Thành phố Huế,Phường Hương An,Tổ dân phố An Lưu,capdo1
Thành phố Huế,Phường Hương An,Tổ dân phố An Vân,capdo1
Thành phố Huế,Phường Hương An,Tổ dân phố Bồn Phổ,capdo1
Thành phố Huế,Phường Hương An,Tổ dân phố Bồn trì,capdo3
Thành phố Huế,Phường Hương An,Tổ dân phố Thanh Chữ,capdo3
Thành phố Huế,Phường Hương An,Tổ dân phố Cổ Bưu,capdo4
Thành phố Huế,Phường Hương Long,Tổ dân phố 1,capdo2
Thành phố Huế,Phường Hương Long,Tổ dân phố 6,capdo2
Thành phố Huế,Phường Hương Long,Tổ dân phố 8,capdo2
Thành phố Huế,Phường Hương Long,Tổ dân phố 2,capdo3
Thành phố Huế,Phường Hương Long,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Hương Long,Tổ dân phố 4,capdo3
Thành phố Huế,Phường Hương Long,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Hương Long,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 10,capdo1
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 4,capdo2
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 9,capdo2
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 1,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 11,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 16,capdo3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 12,capdo4
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Thủy Phú,capdo1
Thành phố Huế,Phường Hương Vinh,Tổ dân phố La Khê,capdo3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Minh Thanh,capdo3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Triều Sơn Đông,capdo3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Triều Sơn Nam,capdo3
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Bao Vinh,capdo4
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Địa Linh,capdo4
Thành phố Huế,Phường Hương Vinh,Tổ dân phố Thế Lại Thượng,capdo4
Thành phố Huế,Phường Kim Long,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Kim Long,Tổ dân phố 6,capdo1
Thành phố Huế,Phường Kim Long,Tổ dân phố 8,capdo1
Thành phố Huế,Phường Kim Long,Tổ dân phố 12,capdo1
Thành phố Huế,Phường Kim Long,Tổ dân phố 9,capdo2
Thành phố Huế,Phường Kim Long,Tổ dân phố 2,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 4,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 10,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 11,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 13,capdo3
Thành phố Huế,Phường Kim Long,Tổ dân phố 3,capdo4
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 2,capdo1
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 1,capdo3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Phú Hậu,Tổ dân phố 7,capdo4
Thành phố Huế,Phường Phú Hội,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Phú Hội,Tổ dân phố 5,capdo1
Thành phố Huế,Phường Phú Hội,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 6,capdo2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 7,capdo2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 8,capdo2
Thành phố Huế,Phường Phú Hội,Tổ dân phố 2,capdo3
Thành phố Huế,Phường Phú Hội,Tổ dân phố 1,capdo4
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Chiết Bi,capdo1
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Tây Trì Nhơn,capdo1
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Lại Thế 2,capdo2
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Trung Đông,capdo2
Thành phố Huế,Phường Phú Thượng,Tổ dân phố La Ỷ,capdo3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Lại Thế 1,capdo3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Nam Thượng,capdo3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Ngọc Anh,capdo3
Thành phố Huế,Phường Phú Thượng,Tổ dân phố Tây Thượng,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 5,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 7,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 9,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 10,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 11,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 12,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 15,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 16,capdo1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 14,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 17,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 18,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 19,capdo3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 13,capdo4
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 7,capdo1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 8,capdo1
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 1,capdo2
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 9,capdo3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 10,capdo3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 11,capdo3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 12,capdo3
Thành phố Huế,Phường Thuận Hòa,Tổ dân phố 13,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 5,capdo2
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 1,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 4,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 9,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 11,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 12,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 13,capdo3
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 10,capdo4
Thành phố Huế,Phường Thuận Lộc,Tổ dân phố 14,capdo4
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 8,capdo1
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 9,capdo1
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 11,capdo1
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 14,capdo1
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 4,capdo2
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 6,capdo2
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 7,capdo2
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 12,capdo2
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 2,capdo3
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 10,capdo3
Thành phố Huế,Phường Thuỷ Xuân,Tổ dân phố 13,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 2,capdo1
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 9,capdo1
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 5,capdo2
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 13,capdo2
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 1,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 4,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 10,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 11,capdo3
Thành phố Huế,Phường Vỹ Dạ,Tổ dân phố 12,capdo3
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 11,capdo1
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 1,capdo2
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 5,capdo2
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 7,capdo2
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 9,capdo3
Thành phố Huế,Phường Xuân Phú,Tổ dân phố 10,capdo3
Thành phố Huế,Xã Phú Dương,Thôn Dương Nỗ  Cồn,capdo1
Thành phố Huế,Xã Phú Dương,Thôn Dương Nổ Đông,capdo1
Thành phố Huế,Xã Phú Dương,Thôn Dương Nổ Nam,capdo1
Thành phố Huế,Xã Phú Dương,Thôn Mỹ An,capdo2
Thành phố Huế,Xã Phú Dương,Thôn Dương Nỗ Tây,capdo3
Thành phố Huế,Xã Phú Dương,Thôn Lưu Khánh,capdo3
Thành phố Huế,Xã Phú Dương,Thôn Phò An,capdo3
Thành phố Huế,Xã Phú Dương,Thôn Phú Khê,capdo3
Thành phố Huế,Xã Phú Dương,Thôn Thạch Căn,capdo3
Thành phố Huế,Xã Phú Mậu,Thôn Lại Ân,capdo1
Thành phố Huế,Xã Phú Mậu,Thôn Tiên Nộn,capdo1
Thành phố Huế,Xã Phú Mậu,Thôn Vọng Trì,capdo1
Thành phố Huế,Xã Phú Mậu,Thôn Thanh Vinh,capdo2
Thành phố Huế,Xã Phú Mậu,Thôn Mậu Tài,capdo3
Thành phố Huế,Xã Phú Mậu,Thôn Lại Tân,capdo4
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 1,capdo1
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 2,capdo1
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 3,capdo1
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 4,capdo1
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 5,capdo1
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 6,capdo1
Huyện A Lưới,Thị trấn A Lưới,Tổ dân phố 7,capdo1
Huyện A Lưới,Xã A Ngo,Thôn A Ngo,capdo1
Huyện A Lưới,Xã A Ngo,Thôn Bình Sơn,capdo1
Huyện A Lưới,Xã A Ngo,Thôn Diên Mai,capdo1
Huyện A Lưới,Xã A Ngo,Thôn Pâr Nghi,capdo1
Huyện A Lưới,Xã A Ngo,Thôn Pờ Nghi 1,capdo1
Huyện A Lưới,Xã A Ngo,Thôn Tà Ròi,capdo1
Huyện A Lưới,Xã A Roàng,Thôn A Chi-Hương Sơn,capdo1
Huyện A Lưới,Xã A Roàng,Thôn A Ka,capdo1
Huyện A Lưới,Xã A Roàng,Thôn A Min-C9,capdo1
Huyện A Lưới,Xã A Roàng,Thôn A Roằng 1,capdo1
